Empresa,Instalacion,Equipo,Mantenimiento,Desconexion de carga,TiempoProgramado,TiempoEjecutado,DiferenciaTiempo,Empresa Afectada,TrabajosSuspendidos,TrabajosProrrogados
CELEC EP - COCA CODO SINCLAIR,Subestación Coca Codo Sinclair,Posición acoplador,EMERGENTE,0.00,1.00,1.72,0.72,0,NO,NO
CELEC EP - COCA CODO SINCLAIR,Subestación Coca Codo Sinclair,Posición acoplador,EMERGENTE,0.00,4.00,2.83,-1.17,0,NO,NO
CELEC EP - COCA CODO SINCLAIR,Subestación Coca Codo Sinclair,Posición San Rafael 1,PROGRAMADO,0.00,42.00,37.77,-4.23,0,NO,NO
CELEC EP - COCA CODO SINCLAIR,Subestación Coca Codo Sinclair,Posición San Rafael 2,PROGRAMADO,0.00,42.00,35.47,-6.53,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 1,PROGRAMADO,0.00,5.00,3.48,-1.52,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 1,EMERGENTE,0.00,10.00,7.23,-2.77,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,PROGRAMADO,0.00,5.00,3.48,-1.52,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,PROGRAMADO,0.00,4.00,4.33,0.33,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,PROGRAMADO,0.00,1.00,1.15,0.15,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,EMERGENTE,0.00,10.50,4.90,-5.60,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,EMERGENTE,0.00,9.00,3.30,-5.70,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,PROGRAMADO,0.00,8.00,8.38,0.38,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,PROGRAMADO,0.00,32.50,30.93,-1.57,0,NO,NO
