Empresa,Instalacion,Equipo,Mantenimiento,Desconexion de carga,TiempoProgramado,TiempoEjecutado,DiferenciaTiempo,Empresa Afectada,TrabajosSuspendidos,TrabajosProrrogados
CELEC EP - COCA CODO SINCLAIR,Subestación Coca Codo Sinclair,Posición acoplador,EMERGENTE,0.0,1.0000000008149073,1.7166666671982966,0.7166666663833894,0,NO,NO
CELEC EP - COCA CODO SINCLAIR,Subestación Coca Codo Sinclair,Posición acoplador,EMERGENTE,0.0,4.000000000814907,2.833333331916947,-1.1666666688979603,0,NO,NO
CELEC EP - COCA CODO SINCLAIR,Subestación Coca Codo Sinclair,Posición San Rafael 1,PROGRAMADO,0.0,42.0,37.76666666648816,-4.233333333511837,0,NO,NO
CELEC EP - COCA CODO SINCLAIR,Subestación Coca Codo Sinclair,Posición San Rafael 2,PROGRAMADO,0.0,42.0,35.4666666671983,-6.533333332801703,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 1,PROGRAMADO,0.0,4.999999999185093,3.48333333368646,-1.516666665498633,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 1,EMERGENTE,0.0,10.000000000814907,7.233333333511837,-2.7666666673030704,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,PROGRAMADO,0.0,4.999999999185093,3.48333333368646,-1.516666665498633,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,PROGRAMADO,0.0,4.000000000814907,4.333333334536292,0.3333333337213844,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,PROGRAMADO,0.0,0.9999999983701855,1.1500000007799827,0.15000000240979716,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,EMERGENTE,0.0,10.5,4.900000000779983,-5.599999999220017,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,EMERGENTE,0.0,9.0,3.300000000104774,-5.699999999895226,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,PROGRAMADO,0.0,8.000000001629815,8.383333334466442,0.38333333283662796,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,PROGRAMADO,0.0,32.50000000081491,30.933333333581686,-1.5666666672332212,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Barra 2,EMERGENTE,0.0,10.000000000814907,5.483333332871553,-4.516666667943355,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Acoplador,EMERGENTE,0.0,4.999999999185093,3.48333333368646,-1.516666665498633,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Acoplador,PROGRAMADO,0.0,4.000000000814907,4.333333334536292,0.3333333337213844,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Acoplador,EMERGENTE,0.0,0.9999999983701855,1.1500000007799827,0.15000000240979716,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Acoplador,PROGRAMADO,0.0,10.5,4.900000000779983,-5.599999999220017,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Acoplador,PROGRAMADO,0.0,9.0,3.300000000104774,-5.699999999895226,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Acoplador,PROGRAMADO,0.0,8.000000001629815,8.383333334466442,0.38333333283662796,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Acoplador,PROGRAMADO,0.0,32.50000000081491,30.933333333581686,-1.5666666672332212,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Acoplador,EMERGENTE,0.0,10.000000000814907,4.449999998440035,-5.550000002374873,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición alta unidad 1,PROGRAMADO,0.0,4.999999999185093,3.48333333368646,-1.516666665498633,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición alta unidad 1,EMERGENTE,0.0,9.0,3.300000000104774,-5.699999999895226,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición alta unidad 2,PROGRAMADO,0.0,4.999999999185093,3.48333333368646,-1.516666665498633,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición alta unidad 2,EMERGENTE,0.0,10.5,4.900000000779983,-5.599999999220017,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición alta unidad 3,EMERGENTE,0.0,4.999999999185093,3.48333333368646,-1.516666665498633,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición alta unidad 3,PROGRAMADO,0.0,4.000000000814907,4.333333334536292,0.3333333337213844,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Cumbaratza,PROGRAMADO,0.0,4.999999999185093,3.48333333368646,-1.516666665498633,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Cumbaratza,EMERGENTE,0.0,49.99999999918509,52.4333333329414,2.433333333756309,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Cumbaratza,PROGRAMADO,0.0,8.000000001629815,8.383333334466442,0.38333333283662796,0,NO,NO
CELEC EP - GENSUR,Subestación Delsitanisagua,Posición Cumbaratza,PROGRAMADO,0.0,4.000000000814907,4.516666667943355,0.5166666671284474,0,NO,NO
