Teacher_Name,University_Currently_Teaching,Department,Province_University_Located,Designation,Terminal_Degree,Graduated_from,Country,Year,Area_of_Specialization,Other_Information,
Dr. Abdul Basit,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,0,Software Engineering   DBMS,NINGUNA,NINGUNA
Dr. Waheed Noor,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,0,DBMS,NINGUNA,NINGUNA
Dr. Junaid Baber,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,0,Information processing   Multimedia mining,NINGUNA,NINGUNA
Dr. Maheen Bakhtyar,University of Balochistan,Computer Science & IT,Balochistan,Assistant Professor,PhD,Asian Institute of Technology,Thailand,0,NLP   Information Retrieval   Question Answering system,NINGUNA,NINGUNA
Samina Azim,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,"Balochistan University of Information Technology, Engineering and Management Sciences",Pakistan,2005,VLSI Electronics DLD Database,NINGUNA,NINGUNA
Nausheed Saeed,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,MCS,University of Balochistan,Pakistan,2008,Software Engineering   Computer Networks.,NINGUNA,NINGUNA
Shumaila Hussain,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,MS,"Balochistan University of Information Technology, Engineering and Management Sciences",Pakistan,2011,Human computer Interaction   Web Development   Software Engineering   Networking,NINGUNA,NINGUNA
Mirfa Manzoor,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009,Human Computer Interaction   Web,NINGUNA,NINGUNA
Saira Mujahid,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009,JAVA Programming,NINGUNA,NINGUNA
Arifa Anwar,Sardar Bahadur Khan Women's University,Computer Science,Balochistan,Lecturer,BS,Sardar Bahadur Khan Women's University,Pakistan,2009,Programming,NINGUNA,NINGUNA
Mazhar Mohsin,University of Turbat,Computer Science,Balochistan,Assistant Professor,MS,Asian Institute of Technology,Thailand,0,Object Detection   Object Tracking   Pattern Recognition   Human Computer Interaction   Software Engineering   Data Structures and Algorithms   Object Oriented Programming,NINGUNA,NINGUNA
Mukhtar Hussain,University of Turbat,Computer Science,Balochistan,Lecturer,MS,SRH Hochschule Heidelberg,germany,0,Semantic Web   Machine Learning,NINGUNA,NINGUNA
Shamsa Aziz,University of Turbat,Computer Science,Balochistan,Lecturer,MS,"Institute of Business Administration,Karachi",Pakistan,0,Semantic Web,NINGUNA,NINGUNA
Bilal-ur-Rehman,University of Turbat,Computer Science,Balochistan,Lecturer,BE,"DUET,Karachi",Pakistan,0,Computer Graphics   Digital Logic Design   Software Engineering   Operating Systems   Artificial Intelligence,NINGUNA,NINGUNA
Balach Khan,University of Turbat,Computer Science,Balochistan,Lecturer,BS,University of Balochistan,Pakistan,0,Data Structures   Algorithms   Programming,NINGUNA,NINGUNA
Pari Naz,University of Turbat,Computer Science,Balochistan,Lecturer,BS,University of Turbat,Pakistan,0,Software Engineering   Theory of Automata and Formal Languages,NINGUNA,NINGUNA
Majid Iqbal Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Head of Department,PhD,University of Vienna,Austria,2009,wireless sensor networks   MANETS and internet of things,NINGUNA,NINGUNA
Sohail Asghar,"COMSATS, Islamabad Campus",Computer Science,Capital,Professor,PhD,Monash University,Australia,2006,Machine Learning and Data mining   decision support system and business intelligence   big data analytics   outcome based education,NINGUNA,NINGUNA
Muaz A. Niazi,"COMSATS, Islamabad Campus",Computer Science,Capital,Chief Scientific Officer,Phd,University of Stirling,UK,0,Complex Communication Networks such as Internet of Things   Online social networks   Wireless Sensor networks etc. Biological Networks Modeling and Simulation   Agent-based Computing.,NINGUNA,NINGUNA
Muhammad Manzoor ilahi Tamimy,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,Chinese Academy of Sciences,China,0,Mining Data Streams   Ubiquitous Data Mining   Intrusion Detection   Distributed Data Mining   Machine learning and data mining   Real-Time system; PublishSubscribe system; Wireless Sensor Networks   Active databases ECA Rules,NINGUNA,NINGUNA
Nasro Min-allah,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,Chinese Academy of Sciences,China,2008,software pipelining   chromatic scheduling   reliable computing and real-time systems,NINGUNA,NINGUNA
M. Masoom Alam,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,University of Innsbruck,Austria,2007,system administration and research and development,NINGUNA,NINGUNA
Sajjad A. Madani,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,Phd,Vienna University of Technology,Austria,0,SINF,NINGUNA,NINGUNA
Nadeem Javaid,"COMSATS, Islamabad Campus",Computer Science,Capital,Associate Professor,PhD,University of Paris-Est,France,2010,Wireless Ad-hoc   Sensor   Vehicular and Body Area Networks,NINGUNA,NINGUNA
Naveed Ahmad,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,The University of Cambridge,UK,0,modelling and simulating changebusiness processes   software engineering for mobile applications.,NINGUNA,NINGUNA
Mansoor Ahmed,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,SD,Vienna University of Technology,Austria,0,A†Information security   privacy   Distributed Computing   Knowledge-Based Systems   Data provenance and Semantic Web Technologies.A†,NINGUNA,NINGUNA
Abid Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,SD,Harbin Institute of Technology,China,0,security   privacy of cloud computing(outsourced storage   computation)   security protocols   Digital watermarking   Secure Provenance,NINGUNA,NINGUNA
Sheikh Ziauddin,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PostDoc,"University of Nice, Sophia Antipolis",France,0,Image processing   computer vision   information security,NINGUNA,NINGUNA
Ahmad R. Shahid,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,Phd,The University of York,UK,0,A†Natural Language Processing (NLP)   which falls under the broader category of Artificial Intelligence. Dr. Shahid is interested in building multilingual   bilingual and monolingual resources using supervised and unsupervised learning approaches. He is also interested in applications of Machine Learning approaches.,NINGUNA,NINGUNA
